DATE	KEYWORDS	TITLE	DESCRIPTION	URL
8/29/2024	critical vulnerability	How AI will transform vulnerability management for the better		https://www.techtarget.com/searchsecurity/tip/How-AI-will-transform-vulnerability-management-for-the-better
8/29/2024	critical vulnerability	Google Rolls Out Imagen 3: Enhanced Image Generation in Gemini After Past Controversy	Google introduces Imagen 3 in its Gemini platform, addressing past issues with enhanced image generation and new features like Gems.	https://www.thehansindia.com/technology/tech-news/google-rolls-out-imagen-3-enhanced-image-generation-in-gemini-after-past-controversy-903093
8/29/2024	critical vulnerability	Romance fraud doesnâ€™t only happen online â€“ it can turn into real-world deception	The world of romance scams â€“ when people exploit a relationship for financial gain or other crimes â€“ is brutal. Raising awareness can help everyone stay safe.	https://theconversation.com/romance-fraud-doesnt-only-happen-online-it-can-turn-into-real-world-deception-237653
8/29/2024	critical vulnerability	Tenable Research Uncovers Thousands of Vulnerable Cyber Assets Amongst Southeast Asia's Financial Sector	Over 26,500 internet-facing assets susceptible to potential exploitation SINGAPORE, Aug. 29, 2024 /PRNewswire/ -- New research conducted by TenableÂ®, Inc., the exposure management company, has uncovered more than 26,500 potential internet-facing assets among Southeast Asia's top banking,...	https://www.prnewswire.com/apac/news-releases/tenable-research-uncovers-thousands-of-vulnerable-cyber-assets-amongst-southeast-asias-financial-sector-302232805.html
8/29/2024	critical vulnerability	EXCLUSIVE:TP-Link Products A Major Threat Claims Chairman Of US Select Committee	TP Link is a fast-growing Chinese networking and security systems brand in Australia that could be a massive risk claims senior US Government officials. This month an investigation of TP- Link products spanning routers, security cameras and mesh network devices was being called for by the powerful US House Of Representatives Select Committee investigating the... Read More	https://www.channelnews.com.au/exclusivetp-link-products-a-major-threat-claims-chairman-of-us-select-committee/
8/29/2024	critical vulnerability	Digital Asset Management Market to Grow by USD 20.85 Billion from 2024-2028, SaaS Shift Fuels Growth, Report Highlights AI-Driven Market Transformation - Technavio	NEW YORK, Aug. 28, 2024 /PRNewswire/ -- Report with the AI impact on market trends- The global digital asset management market size is estimated to grow by USD 20.85 billion from 2024-2028, according to Technavio. The market is estimated to grow at a CAGR of about 28.36% during the...	https://www.prnewswire.com/news-releases/digital-asset-management-market-to-grow-by-usd-20-85-billion-from-2024-2028--saas-shift-fuels-growth-report-highlights-ai-driven-market-transformation---technavio-302232696.html
8/29/2024	critical vulnerability	Unpatchable 0-day in surveillance cam is being exploited to install Mirai	Vulnerability is easy to exploit and allows attackers to remotely execute commands.	https://arstechnica.com/?p=2046043
8/29/2024	critical vulnerability	Proof-of-concept code released for zero-click critical Windows vuln	If you haven't deployed August's patches, get busy before others do Windows users who haven't yet installed the latest fixes to their operating systems will need to get a move on, as code now exists to exploit a critical Microsoft vulnerability announced by Redmond two weeks ago....	https://go.theregister.com/feed/www.theregister.com/2024/08/28/proofofconcept_code_released_for_zeroclick/
8/29/2024	critical vulnerability	Telegram â€” a Controversial Messaging Service	The arrest of Telegram CEO Pavel Durov in Paris has left Russia's opposition fearing for the future of their most important communications platform.	https://www.latestly.com/technology/telegram-a-controversial-messaging-service-6223364.html
8/29/2024	critical vulnerability	Future of Coding with AI: How â€˜Tab Tab Tabâ€™ Is Changing the Game		https://www.analyticsinsight.net/artificial-intelligence/future-of-coding-with-ai-how-tab-tab-tab-is-changing-the-game
8/29/2024	zero-day exploit	South Korean hackers exploited WPS Office zero-day to deploy malware - BleepingComputer	South Korean hackers exploited WPS Office zero-day to deploy malware BleepingComputerAPT group exploits WPS Office for Windows RCE vulnerability (CVE-2024-7262) Help Net Security	https://news.google.com/rss/articles/CBMivgFBVV95cUxNY3pBYVBUTFdINzlqSGY3eWRnQ1NUZHdPVGdJRWY4UmZhVXF5QUNRbmhBV1BqNFFlcVE1WGVFWnc0ZVc1TWVhdlhwb2hjdUswb0pLMklKb2NuTk9jRnppbDd0YjBlUmRTV3NsSDNNLTBEajA1Vko0clh5TDNsVlhsNjZqcGQwZHpzeXBGZWo1c3pQVWsxV0JBZTVwWVVVMV81OWUwc3ByOTUwQWVmWlVGZURyRjlMYUhvZS1SU1JB0gHDAUFVX3lxTFAtUjhXTUhsV2pzc1dtbEFiTG5qdlRRdTN5RVZQd1ZqZW0waXVvNXNxS3JzN05McmoxdkQxOU5PQkJNcVh4UjNXWmduMTNQWWFNMGlVUUpBaUxYX29oY3JSRm92YkV6OHdKS3lUcDBUeDVqaGhnVVRRVUd6Y3ZiQUJGT3gtRkhjT1YxVlA1X1NscnNVMExWR0Jya0ZES1FOWmc5WUs2QVpLMUtqMEFUMXNjc3ZfUUZoVkRVaENVeU1WeXZPdw?oc=5
8/29/2024	zero-day exploit	South Korean hackers exploited WPS Office zero-day to deploy malware	The South Korea-aligned cyberespionage group APT-C-60 has been leveraging a zero-day code execution vulnerability in the Windows version of WPS Office to install the SpyGlace backdoor on East Asian targets. [...]	https://www.bleepingcomputer.com/news/security/apt-c-60-hackers-exploited-wps-office-zero-day-to-deploy-spyglace-malware/
8/29/2024	zero-day exploit	Unpatchable 0-day in surveillance cam is being exploited to install Mirai	Vulnerability is easy to exploit and allows attackers to remotely execute commands.	https://arstechnica.com/?p=2046043
